,lemma,normalizaton,id_text,id_line,id_word,label
,lemma,,id_text,id_line,label
2714525,mašgal[goat]N,,epsd2/admin/u3adm/P108677,118,r ii 16
2714526,niga[fattened]V/i,,epsd2/admin/u3adm/P108677,118,r ii 16
2714527,gudeʾusa[drover]N,,epsd2/admin/u3adm/P108677,118,r ii 16
2714528,šuniŋin[total]N,,epsd2/admin/u3adm/P108677,119,r ii 17
2714529,1(u)[]NU,,epsd2/admin/u3adm/P108677,119,r ii 17
2714530,2(diš)[]NU,,epsd2/admin/u3adm/P108677,119,r ii 17
2714531,sila[lamb]N,,epsd2/admin/u3adm/P108677,119,r ii 17
2714532,niga[fattened]V/i,,epsd2/admin/u3adm/P108677,119,r ii 17
2714533,šuniŋin[total]N,,epsd2/admin/u3adm/P108677,120,r ii 18
2714534,1(u)[]NU,,epsd2/admin/u3adm/P108677,120,r ii 18
2714535,8(diš)[]NU,,epsd2/admin/u3adm/P108677,120,r ii 18
2714536,kir[lamb]N,,epsd2/admin/u3adm/P108677,120,r ii 18
2714537,niga[fattened]V/i,,epsd2/admin/u3adm/P108677,120,r ii 18
2714538,šuniŋin[total]N,,epsd2/admin/u3adm/P108677,121,r ii 19
2714539,4(u)[]NU,,epsd2/admin/u3adm/P108677,121,r ii 19
2714540,8(diš)[]NU,,epsd2/admin/u3adm/P108677,121,r ii 19
2714541,ašgar[kid]N,,epsd2/admin/u3adm/P108677,121,r ii 19
2714542,niga[fattened]V/i,,epsd2/admin/u3adm/P108677,121,r ii 19
2714543,šuniŋin[total]N,,epsd2/admin/u3adm/P108677,122,r ii 20
2714544,1(gešʾu)[]NU,,epsd2/admin/u3adm/P108677,122,r ii 20
2714545,2(geš₂)[]NU,,epsd2/admin/u3adm/P108677,122,r ii 20
2714546,1(u)[]NU,,epsd2/admin/u3adm/P108677,122,r ii 20
2714547,3(diš)[]NU,,epsd2/admin/u3adm/P108677,122,r ii 20
2714548,udu[sheep]N,,epsd2/admin/u3adm/P108677,122,r ii 20
2714549,u[grass]N,,epsd2/admin/u3adm/P108677,122,r ii 20
2714550,šuniŋin[total]N,,epsd2/admin/u3adm/P108677,123,r ii 21
2714551,6(geš₂)[]NU,,epsd2/admin/u3adm/P108677,123,r ii 21
2714552,3(diš)[]NU,,epsd2/admin/u3adm/P108677,123,r ii 21
2714553,u[ewe]N,,epsd2/admin/u3adm/P108677,123,r ii 21
2714554,u[grass]N,,epsd2/admin/u3adm/P108677,123,r ii 21
2714555,šuniŋin[total]N,,epsd2/admin/u3adm/P108677,124,r ii 22
2714556,6(geš₂)[]NU,,epsd2/admin/u3adm/P108677,124,r ii 22
2714557,2(u)[]NU,,epsd2/admin/u3adm/P108677,124,r ii 22
2714558,6(diš)[]NU,,epsd2/admin/u3adm/P108677,124,r ii 22
2714559,mašgal[goat]N,,epsd2/admin/u3adm/P108677,124,r ii 22
2714560,u[grass]N,,epsd2/admin/u3adm/P108677,124,r ii 22
2714561,šuniŋin[total]N,,epsd2/admin/u3adm/P108677,125,r ii 23
2714562,3(geš₂)[]NU,,epsd2/admin/u3adm/P108677,125,r ii 23
2714563,1(u)[]NU,,epsd2/admin/u3adm/P108677,125,r ii 23
